type,monthly_charges,total_charges,paperless_billing,begin_month,begin_year,end_month,end_year,active_days,internet_fiber_optic,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,senior_citizen,gender_male,partner,dependents,multiple_lines,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0,55.3,238.5,True,10,2019,10,2021,92,False,False,False,False,False,False,True,0,True,False,False,False,False,False,True
1,25.45,1699.15,False,8,2014,8,2020,1979,False,False,False,False,False,False,False,0,True,False,False,True,False,False,False
0,66.35,740.8,True,1,2019,12,2019,334,False,False,False,False,True,False,True,0,False,True,True,True,False,True,False
0,19.95,19.95,False,11,2019,12,2019,30,False,False,False,False,False,False,False,0,True,True,True,False,False,False,False
1,108.45,7076.35,True,8,2014,8,2020,1979,True,False,True,True,True,True,True,1,True,True,True,True,False,True,False
0,94.75,422.4,True,10,2019,10,2021,92,True,False,False,True,False,True,True,1,True,False,False,False,False,True,False
0,104.5,4036.85,True,9,2016,1,2020,1217,True,False,True,True,False,True,True,0,True,False,False,True,True,False,False
2,56.4,3948.45,True,6,2014,6,2021,2040,False,True,True,True,True,False,True,0,True,True,True,False,False,False,True
1,106.15,6256.2,True,3,2015,3,2020,1767,True,False,True,True,False,True,True,0,False,True,True,True,False,True,False
0,39.2,849.9,False,4,2018,4,2021,640,False,False,True,False,False,True,False,0,False,True,True,False,False,True,False
0,48.95,48.95,False,10,2019,11,2019,31,False,False,False,True,False,False,False,0,True,False,True,False,False,True,False
1,41.1,2258.25,True,5,2015,5,2020,1706,False,True,False,True,True,False,False,0,False,False,False,False,True,False,False
0,105.9,6401.25,True,2,2015,3,2015,28,True,False,True,True,False,True,True,1,False,True,False,True,False,True,False
1,39.1,1096.6,True,10,2017,10,2020,822,False,False,True,False,False,False,True,1,False,True,True,False,False,True,False
0,55.15,159.15,False,9,2019,12,2019,91,False,False,False,False,False,True,False,0,True,False,False,False,False,False,True
1,104.65,7288.4,True,3,2014,3,2020,2132,True,True,True,True,False,True,True,0,True,True,True,False,False,False,False
0,80.8,332.45,False,9,2019,1,2020,122,True,False,False,False,True,False,False,0,True,False,True,True,True,False,False
2,108.05,7532.15,True,11,2013,10,2019,2160,True,True,False,True,True,True,True,0,True,False,False,True,False,True,False
0,45.25,428.7,False,4,2019,4,2021,275,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True
0,29.35,216.45,False,6,2019,6,2021,214,False,True,False,False,False,False,False,0,True,False,False,False,False,False,True
2,20.5,1502.25,False,2,2014,2,2021,2160,False,False,False,False,False,False,False,0,False,True,False,False,True,False,False
0,104.95,2566.5,True,11,2017,12,2019,760,True,False,False,True,True,True,True,0,False,True,False,True,False,False,False
0,85.7,2067.0,True,12,2017,12,2021,761,True,False,False,True,False,True,False,1,False,True,False,False,True,False,False
